                                     | Core 0    
  Instructions                       |      10392
  Cycles                             |      96370
  IPC                                |       0.11
  Time (ns)                          |      36230
  Idle time (ns)                     |      27548
  Idle time (%)                      |      76.0%
Branch predictor stats               |           
  num correct                        |       1187
  num incorrect                      |         55
  misprediction rate                 |      4.43%
  mpki                               |       5.29
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       1337
    num misses                       |         21
    miss rate                        |      1.57%
    mpki                             |       2.02
  D-TLB                              |           
    num accesses                     |       4503
    num misses                       |          1
    miss rate                        |      0.02%
    mpki                             |       0.10
  L2 TLB                             |           
    num accesses                     |         22
    num misses                       |         22
    miss rate                        |    100.00%
    mpki                             |       2.12
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       1337
    num cache misses                 |        101
    miss rate                        |      7.55%
    mpki                             |       9.72
  Cache L1-D                         |           
    num cache accesses               |       4503
    num cache misses                 |         17
    miss rate                        |      0.38%
    mpki                             |       1.64
  Cache L2                           |           
    num cache accesses               |        120
    num cache misses                 |        118
    miss rate                        |     98.33%
    mpki                             |      11.35
  Cache L3                           |           
    num cache accesses               |        120
    num cache misses                 |        118
    miss rate                        |     98.33%
    mpki                             |      11.35
DRAM summary                         |           
  num dram accesses                  |        118
  average dram access latency (ns)   |      95.33
  average dram queueing delay        |      41.90
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |         12
  num loads from dram cache          |          0
  num loads from remote cache        |          0
